=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24, reshaped to one line per record.
# Somalia (706) does not report; rows are partner (mirror) data: other countries' reported exports to Somalia and Gulf imports from Somalia and from the World.
# Filter: partner2Code 0, customsCode C00, motCode 0 (all customs regimes and transport modes). Values in current USD; net weight in kg.
# Format: Reporter (code) | Flow | Partner | HS code | Year | Trade value USD | Net weight kg | HS version
Saudi Arabia (682) | Export | Somalia | HS 3401 | 2022 | 187410.929 | 103642.0 | H6
South Africa (710) | Export | Somalia | HS 3401 | 2022 | 58868.159 | 98584.71 | H6
Spain (724) | Export | Somalia | HS 3401 | 2022 | 2500.295 | 2255.13 | H6
Thailand (764) | Export | Somalia | HS 3401 | 2022 | 3309.877 | 727.0 | H6
Turkiye (792) | Export | Somalia | HS 3401 | 2022 | 589208.0 | 504643.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 3401 | 2022 | 3371620.235 | 2291058.43 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 3401 | 2022 | 2259733.089 | 1489819.0 | H6
United Kingdom (826) | Export | Somalia | HS 3401 | 2022 | 2441.459 | 802.0 | H6
China (156) | Export | Somalia | HS 3401 | 2023 | 283723.0 | 142820.0 | H6
Djibouti (262) | Export | Somalia | HS 3401 | 2023 | 54743.192 | 60625.8 | H3
Egypt (818) | Export | Somalia | HS 3401 | 2023 | 1905.266 | 414.069 | H6
India (699) | Export | Somalia | HS 3401 | 2023 | 1312410.605 | 1065893.0 | H6
Indonesia (360) | Export | Somalia | HS 3401 | 2023 | 7309934.741 | 7357562.877 | H6
Jordan (400) | Export | Somalia | HS 3401 | 2023 | 138429.76 | 64695.604 | H6
Kenya (404) | Export | Somalia | HS 3401 | 2023 | 5642065.404 | 7040716.9 | H6
Kenya (404) | Re-export | Somalia | HS 3401 | 2023 | 639.544 | 145.0 | H6
Malaysia (458) | Export | Somalia | HS 3401 | 2023 | 1909730.944 | 2210110.0 | H6
Netherlands (528) | Export | Somalia | HS 3401 | 2023 | 2314.996 | 1605.0 | H6
Oman (512) | Export | Somalia | HS 3401 | 2023 | 1418465.537 | 1609448.0 | H6
Oman (512) | Re-export | Somalia | HS 3401 | 2023 | 1418465.537 | 1609448.0 | H6
Pakistan (586) | Export | Somalia | HS 3401 | 2023 | 17539.119 | 24596.0 | H6
Rep. of Korea (410) | Export | Somalia | HS 3401 | 2023 | 89766.0 | 3613.439 | H6
Saudi Arabia (682) | Export | Somalia | HS 3401 | 2023 | 53664.532 | 21074.979 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 3401 | 2023 | 640.0 | 329.306 | H6
South Africa (710) | Export | Somalia | HS 3401 | 2023 | 272.734 | 70.88 | H6
Spain (724) | Export | Somalia | HS 3401 | 2023 | 4027.488 | 4762.68 | H6
Thailand (764) | Export | Somalia | HS 3401 | 2023 | 87.38 | 61.0 | H6
Turkiye (792) | Export | Somalia | HS 3401 | 2023 | 757888.0 | 622473.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 3401 | 2023 | 3329914.605 | 1829945.8 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 3401 | 2023 | 2204395.179 | 1022720.0 | H6
United Kingdom (826) | Export | Somalia | HS 3401 | 2023 | 9834.204 | 2372.0 | H6
Yemen (887) | Export | Somalia | HS 3401 | 2023 | 543000.691 | 994813.0 | H4
China (156) | Export | Somalia | HS 3401 | 2024 | 483821.0 | 312762.0 | H6
Egypt (818) | Export | Somalia | HS 3401 | 2024 | 41972.5 | 15084.016 | H6
India (699) | Export | Somalia | HS 3401 | 2024 | 992841.395 | 552623.0 | H6
Indonesia (360) | Export | Somalia | HS 3401 | 2024 | 5194245.94 | 6192088.797 | H6
Italy (380) | Export | Somalia | HS 3401 | 2024 | 8201.197 | 1329.0 | H6
Kenya (404) | Export | Somalia | HS 3401 | 2024 | 5108629.122 | 6492791.6 | H6
Kenya (404) | Re-export | Somalia | HS 3401 | 2024 | 11983.708 | 1984.5 | H6
Malaysia (458) | Export | Somalia | HS 3401 | 2024 | 4601087.336 | 5276798.93 | H6
Netherlands (528) | Export | Somalia | HS 3401 | 2024 | 2618.278 | 1556.0 | H6
Oman (512) | Export | Somalia | HS 3401 | 2024 | 2454494.144 | 2455756.0 | H6
Oman (512) | Re-export | Somalia | HS 3401 | 2024 | 2454494.144 | 2455756.0 | H6
Pakistan (586) | Export | Somalia | HS 3401 | 2024 | 78146.409 | 58992.0 | H6
Rep. of Korea (410) | Export | Somalia | HS 3401 | 2024 | 197485.0 | 8697.37 | H6
Saudi Arabia (682) | Export | Somalia | HS 3401 | 2024 | 120686.93 | 117300.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 3401 | 2024 | 1774.933 | 4500.0 | H6
Singapore (702) | Export | Somalia | HS 3401 | 2024 | 88887.17 | 9669.6 | H6
South Africa (710) | Export | Somalia | HS 3401 | 2024 | 120771.039 | 108077.75 | H6
Spain (724) | Export | Somalia | HS 3401 | 2024 | 208.779 | 247.346 | H6
Tanzania (834) | Export | Somalia | HS 3401 | 2024 | 23431.25 | 27640.0 | H6
Thailand (764) | Export | Somalia | HS 3401 | 2024 | 13612.348 | 4055.0 | H6
Turkiye (792) | Export | Somalia | HS 3401 | 2024 | 390807.0 | 346128.0 | H6
USA (842) | Export | Somalia | HS 3401 | 2024 | 22159.0 | 2341.0 | H6
United Kingdom (826) | Export | Somalia | HS 3401 | 2024 | 3284.897 | 56.0 | H6
Yemen (887) | Export | Somalia | HS 3401 | 2024 | 681613.333 | 1107761.0 | H5
China (156) | Export | Somalia | HS 3402 | 2021 | 12176924.0 | 15850783.0 | H5
Djibouti (262) | Export | Somalia | HS 3402 | 2021 | 24166.018 | 60023.0 | H3
Egypt (818) | Export | Somalia | HS 3402 | 2021 | 269612.15 | 155703.107 | H4
Ethiopia (231) | Export | Somalia | HS 3402 | 2021 | 68530.72 | 99364.0 | H5
Germany (276) | Export | Somalia | HS 3402 | 2021 | 9876.199 | 738.0 | H5
India (699) | Export | Somalia | HS 3402 | 2021 | 723612.599 | 967741.0 | H5
Indonesia (360) | Export | Somalia | HS 3402 | 2021 | 83110.25 | 62602.7 | H5
Jordan (400) | Export | Somalia | HS 3402 | 2021 | 23142.225 | 8406.294 | H5
Kenya (404) | Export | Somalia | HS 3402 | 2021 | 24134.599 | 7805.78 | H5
Kenya (404) | Re-export | Somalia | HS 3402 | 2021 | 2174.571 | 300.9 | H5
Malaysia (458) | Export | Somalia | HS 3402 | 2021 | 56554.953 | 32000.0 | H5
Netherlands (528) | Export | Somalia | HS 3402 | 2021 | 40836.475 | 35650.0 | H5
Oman (512) | Export | Somalia | HS 3402 | 2021 | 2074618.982 | 0.0 | H5
Oman (512) | Re-export | Somalia | HS 3402 | 2021 | 1677123.534 | 0.0 | H5
Pakistan (586) | Export | Somalia | HS 3402 | 2021 | 38006.529 | 12016.0 | H5
Qatar (634) | Export | Somalia | HS 3402 | 2021 | 4133774.415 | 0.0 | H5
Saudi Arabia (682) | Export | Somalia | HS 3402 | 2021 | 156138.929 | 197618.0 | H5
South Africa (710) | Export | Somalia | HS 3402 | 2021 | 184.049 | 37.94 | H5
Spain (724) | Export | Somalia | HS 3402 | 2021 | 13089.718 | 22443.9 | H5
Thailand (764) | Export | Somalia | HS 3402 | 2021 | 9693.385 | 27280.0 | H5
Turkiye (792) | Export | Somalia | HS 3402 | 2021 | 1376394.0 | 1853554.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 3402 | 2021 | 2695043.018 | 1591165.5 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 3402 | 2021 | 1491278.134 | 792633.0 | H5
China (156) | Export | Somalia | HS 3402 | 2022 | 13151693.0 | 16705060.0 | H6
Djibouti (262) | Export | Somalia | HS 3402 | 2022 | 5927.442 | 14808.75 | H3
Egypt (818) | Export | Somalia | HS 3402 | 2022 | 169614.0 | 88434.799 | H6
Ethiopia (231) | Export | Somalia | HS 3402 | 2022 | 61376.8 | 89464.0 | H6
Germany (276) | Export | Somalia | HS 3402 | 2022 | 1699.504 | 173.0 | H6
India (699) | Export | Somalia | HS 3402 | 2022 | 937481.41 | 1309605.0 | H6
Indonesia (360) | Export | Somalia | HS 3402 | 2022 | 59868.227 | 44929.96 | H6
Italy (380) | Export | Somalia | HS 3402 | 2022 | 1109.913 | 123.0 | H6
Jordan (400) | Export | Somalia | HS 3402 | 2022 | 15350.352 | 5520.326 | H6
Kenya (404) | Export | Somalia | HS 3402 | 2022 | 25236.948 | 0.0 | H6
Kenya (404) | Re-export | Somalia | HS 3402 | 2022 | 564.395 | 147.0 | H6
Malaysia (458) | Export | Somalia | HS 3402 | 2022 | 37825.746 | 16001.0 | H6
Netherlands (528) | Export | Somalia | HS 3402 | 2022 | 17570.116 | 15097.0 | H6
Oman (512) | Export | Somalia | HS 3402 | 2022 | 3349643.688 | 2998532.0 | H6
Oman (512) | Re-export | Somalia | HS 3402 | 2022 | 3116923.272 | 2870572.0 | H6
Pakistan (586) | Export | Somalia | HS 3402 | 2022 | 422731.823 | 200000.0 | H6
Qatar (634) | Export | Somalia | HS 3402 | 2022 | 5287767.084 | 0.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 3402 | 2022 | 701973.582 | 441226.0 | H6
South Africa (710) | Export | Somalia | HS 3402 | 2022 | 22143.204 | 4944.37 | H6
Spain (724) | Export | Somalia | HS 3402 | 2022 | 1633.363 | 3017.6 | H6
Thailand (764) | Export | Somalia | HS 3402 | 2022 | 75948.371 | 93742.0 | H6
Turkiye (792) | Export | Somalia | HS 3402 | 2022 | 1800698.0 | 2279926.0 | H6
USA (842) | Export | Somalia | HS 3402 | 2022 | 3088.0 | 5.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 3402 | 2022 | 1456945.051 | 0.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 3402 | 2022 | 863954.998 | 0.0 | H6
United Kingdom (826) | Export | Somalia | HS 3402 | 2022 | 2441.459 | 802.0 | H6
China (156) | Export | Somalia | HS 3402 | 2023 | 19192425.0 | 25943647.343 | H6
Djibouti (262) | Export | Somalia | HS 3402 | 2023 | 48970.07 | 61069.0 | H3
Egypt (818) | Export | Somalia | HS 3402 | 2023 | 486355.04 | 212885.325 | H6
Ethiopia (231) | Export | Somalia | HS 3402 | 2023 | 60184.181 | 90048.0 | H6
Germany (276) | Export | Somalia | HS 3402 | 2023 | 2914.126 | 994.0 | H6
India (699) | Export | Somalia | HS 3402 | 2023 | 614579.254 | 669157.0 | H6
Indonesia (360) | Export | Somalia | HS 3402 | 2023 | 414868.48 | 95559.55 | H6
Kenya (404) | Export | Somalia | HS 3402 | 2023 | 92939.229 | 10286.87 | H6
Kenya (404) | Re-export | Somalia | HS 3402 | 2023 | 3154.394 | 101.7 | H6
Malaysia (458) | Export | Somalia | HS 3402 | 2023 | 131682.869 | 96000.0 | H6
Netherlands (528) | Export | Somalia | HS 3402 | 2023 | 35637.532 | 22924.0 | H6
Oman (512) | Export | Somalia | HS 3402 | 2023 | 2347908.969 | 2748948.0 | H6
Oman (512) | Re-export | Somalia | HS 3402 | 2023 | 2347908.969 | 2748948.0 | H6
Pakistan (586) | Export | Somalia | HS 3402 | 2023 | 290075.553 | 204386.565 | H6
Qatar (634) | Export | Somalia | HS 3402 | 2023 | 5088943.849 | 0.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 3402 | 2023 | 389871.724 | 190143.115 | H6
South Africa (710) | Export | Somalia | HS 3402 | 2023 | 655.601 | 3665.21 | H6
Spain (724) | Export | Somalia | HS 3402 | 2023 | 6000.695 | 7637.76 | H6
Thailand (764) | Export | Somalia | HS 3402 | 2023 | 200970.429 | 247321.0 | H6
Turkiye (792) | Export | Somalia | HS 3402 | 2023 | 493144.0 | 503132.0 | H6
USA (842) | Export | Somalia | HS 3402 | 2023 | 3131.0 | 150.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 3402 | 2023 | 824979.664 | 676139.8 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 3402 | 2023 | 417031.452 | 245638.4 | H6
Yemen (887) | Export | Somalia | HS 3402 | 2023 | 494844.524 | 1225156.0 | H4
China (156) | Export | Somalia | HS 3402 | 2024 | 16525583.0 | 23352337.375 | H6
Egypt (818) | Export | Somalia | HS 3402 | 2024 | 1519506.45 | 567816.997 | H6
Germany (276) | Export | Somalia | HS 3402 | 2024 | 2421.639 | 206.0 | H6
India (699) | Export | Somalia | HS 3402 | 2024 | 406069.159 | 403651.789 | H6
Indonesia (360) | Export | Somalia | HS 3402 | 2024 | 314173.37 | 245765.0 | H6
Italy (380) | Export | Somalia | HS 3402 | 2024 | 25149.11 | 15000.0 | H6
Kenya (404) | Export | Somalia | HS 3402 | 2024 | 11490.037 | 1973.05 | H6
Malaysia (458) | Export | Somalia | HS 3402 | 2024 | 190129.288 | 128018.0 | H6
Netherlands (528) | Export | Somalia | HS 3402 | 2024 | 21630.291 | 13668.0 | H6
Oman (512) | Export | Somalia | HS 3402 | 2024 | 2377526.654 | 2866615.0 | H6
Oman (512) | Re-export | Somalia | HS 3402 | 2024 | 2377526.654 | 2866615.0 | H6
Qatar (634) | Export | Somalia | HS 3402 | 2024 | 1433948.876 | 0.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 3402 | 2024 | 138122.663 | 108445.0 | H6
South Africa (710) | Export | Somalia | HS 3402 | 2024 | 20367.067 | 9983.21 | H6
Spain (724) | Export | Somalia | HS 3402 | 2024 | 2571.244 | 2580.0 | H6
Thailand (764) | Export | Somalia | HS 3402 | 2024 | 397090.402 | 415294.0 | H6
Turkiye (792) | Export | Somalia | HS 3402 | 2024 | 373616.0 | 408317.0 | H6
USA (842) | Export | Somalia | HS 3402 | 2024 | 55039.0 | 5188.0 | H6
Yemen (887) | Export | Somalia | HS 3402 | 2024 | 252730.2 | 397206.0 | H5
China (156) | Export | Somalia | HS 61 | 2021 | 33451615.0 | 0.0 | H5
Djibouti (262) | Export | Somalia | HS 61 | 2021 | 3792.435 | 0.0 | H3
Ethiopia (231) | Export | Somalia | HS 61 | 2021 | 107750.62 | 0.0 | H5
Germany (276) | Export | Somalia | HS 61 | 2021 | 38392.748 | 0.0 | H5
India (699) | Export | Somalia | HS 61 | 2021 | 4712751.779 | 0.0 | H5
Indonesia (360) | Export | Somalia | HS 61 | 2021 | 342711.516 | 0.0 | H5
Italy (380) | Export | Somalia | HS 61 | 2021 | 4376.139 | 0.0 | H5
Kenya (404) | Export | Somalia | HS 61 | 2021 | 67071.059 | 0.0 | H5
Netherlands (528) | Export | Somalia | HS 61 | 2021 | 58895.736 | 0.0 | H5
Oman (512) | Export | Somalia | HS 61 | 2021 | 901222.365 | 0.0 | H5
Oman (512) | Re-export | Somalia | HS 61 | 2021 | 901222.365 | 0.0 | H5
Pakistan (586) | Export | Somalia | HS 61 | 2021 | 915514.723 | 0.0 | H5
Rep. of Korea (410) | Export | Somalia | HS 61 | 2021 | 84.0 | 0.0 | H5
Saudi Arabia (682) | Export | Somalia | HS 61 | 2021 | 149579.73 | 0.0 | H5
Saudi Arabia (682) | Re-export | Somalia | HS 61 | 2021 | 146619.73 | 0.0 | H5
South Africa (710) | Export | Somalia | HS 61 | 2021 | 61455.293 | 0.0 | H5
Thailand (764) | Export | Somalia | HS 61 | 2021 | 4192.308 | 0.0 | H5
Turkiye (792) | Export | Somalia | HS 61 | 2021 | 1858440.0 | 0.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 61 | 2021 | 8050087.446 | 0.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 61 | 2021 | 6592556.145 | 0.0 | H5
United Kingdom (826) | Export | Somalia | HS 61 | 2021 | 66364.085 | 0.0 | H5
China (156) | Export | Somalia | HS 61 | 2022 | 28759780.0 | 0.0 | H6
Djibouti (262) | Export | Somalia | HS 61 | 2022 | 8449682.319 | 0.0 | H3
Germany (276) | Export | Somalia | HS 61 | 2022 | 1251.597 | 0.0 | H6
India (699) | Export | Somalia | HS 61 | 2022 | 5040676.432 | 0.0 | H6
Indonesia (360) | Export | Somalia | HS 61 | 2022 | 649401.146 | 0.0 | H6
Italy (380) | Export | Somalia | HS 61 | 2022 | 108254.452 | 0.0 | H6
Kenya (404) | Export | Somalia | HS 61 | 2022 | 98218.651 | 0.0 | H6
Kenya (404) | Re-export | Somalia | HS 61 | 2022 | 4333.124 | 0.0 | H6
Netherlands (528) | Export | Somalia | HS 61 | 2022 | 11242.347 | 0.0 | H6
Oman (512) | Export | Somalia | HS 61 | 2022 | 669729.518 | 0.0 | H6
Oman (512) | Re-export | Somalia | HS 61 | 2022 | 669729.518 | 0.0 | H6
Pakistan (586) | Export | Somalia | HS 61 | 2022 | 612144.731 | 0.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 61 | 2022 | 103803.731 | 0.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 61 | 2022 | 103419.731 | 0.0 | H6
South Africa (710) | Export | Somalia | HS 61 | 2022 | 63855.059 | 0.0 | H6
Thailand (764) | Export | Somalia | HS 61 | 2022 | 20725.756 | 0.0 | H6
Turkiye (792) | Export | Somalia | HS 61 | 2022 | 1860882.0 | 0.0 | H6
USA (842) | Export | Somalia | HS 61 | 2022 | 39209.0 | 0.0 | H6
USA (842) | Re-export | Somalia | HS 61 | 2022 | 24219.0 | 0.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 61 | 2022 | 7234431.858 | 0.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 61 | 2022 | 5594576.546 | 0.0 | H6
United Kingdom (826) | Export | Somalia | HS 61 | 2022 | 12165.789 | 0.0 | H6
China (156) | Export | Somalia | HS 61 | 2023 | 39760720.0 | 0.0 | H6
Germany (276) | Export | Somalia | HS 61 | 2023 | 28329.021 | 0.0 | H6
India (699) | Export | Somalia | HS 61 | 2023 | 8993891.791 | 0.0 | H6
Indonesia (360) | Export | Somalia | HS 61 | 2023 | 293900.0 | 0.0 | H6
Italy (380) | Export | Somalia | HS 61 | 2023 | 268959.082 | 0.0 | H6
Kenya (404) | Export | Somalia | HS 61 | 2023 | 62101.603 | 0.0 | H6
Kenya (404) | Re-export | Somalia | HS 61 | 2023 | 1743.115 | 0.0 | H6
Netherlands (528) | Export | Somalia | HS 61 | 2023 | 2083.605 | 0.0 | H6
Oman (512) | Export | Somalia | HS 61 | 2023 | 984871.26 | 0.0 | H6
Oman (512) | Re-export | Somalia | HS 61 | 2023 | 984871.26 | 0.0 | H6
Pakistan (586) | Export | Somalia | HS 61 | 2023 | 1219952.558 | 0.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 61 | 2023 | 43141.066 | 0.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 61 | 2023 | 40408.799 | 0.0 | H6
South Africa (710) | Export | Somalia | HS 61 | 2023 | 57628.777 | 0.0 | H6
Spain (724) | Export | Somalia | HS 61 | 2023 | 1529.454 | 0.0 | H6
Thailand (764) | Export | Somalia | HS 61 | 2023 | 1033.632 | 0.0 | H6
Turkiye (792) | Export | Somalia | HS 61 | 2023 | 1393358.0 | 0.0 | H6
USA (842) | Export | Somalia | HS 61 | 2023 | 81121.0 | 0.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 61 | 2023 | 12949947.284 | 0.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 61 | 2023 | 10652327.841 | 0.0 | H6
United Kingdom (826) | Export | Somalia | HS 61 | 2023 | 24406.526 | 0.0 | H6
Brazil (76) | Export | Somalia | HS 61 | 2024 | 3738.0 | 0.0 | H6
China (156) | Export | Somalia | HS 61 | 2024 | 34749732.0 | 0.0 | H6
Germany (276) | Export | Somalia | HS 61 | 2024 | 11438.603 | 0.0 | H6
India (699) | Export | Somalia | HS 61 | 2024 | 19874724.874 | 0.0 | H6
Indonesia (360) | Export | Somalia | HS 61 | 2024 | 84488.5 | 0.0 | H6
Italy (380) | Export | Somalia | HS 61 | 2024 | 212496.179 | 0.0 | H6
Jordan (400) | Export | Somalia | HS 61 | 2024 | 4788.732 | 0.0 | H6
Kenya (404) | Export | Somalia | HS 61 | 2024 | 215075.658 | 0.0 | H6
Kenya (404) | Re-export | Somalia | HS 61 | 2024 | 913.949 | 0.0 | H6
Oman (512) | Export | Somalia | HS 61 | 2024 | 1002156.045 | 0.0 | H6
Oman (512) | Re-export | Somalia | HS 61 | 2024 | 1002156.045 | 0.0 | H6
Pakistan (586) | Export | Somalia | HS 61 | 2024 | 572917.275 | 0.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 61 | 2024 | 20067.999 | 0.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 61 | 2024 | 20067.999 | 0.0 | H6
South Africa (710) | Export | Somalia | HS 61 | 2024 | 16717.755 | 0.0 | H6
Spain (724) | Export | Somalia | HS 61 | 2024 | 2985.679 | 0.0 | H6
Thailand (764) | Export | Somalia | HS 61 | 2024 | 338.625 | 0.0 | H6
Turkiye (792) | Export | Somalia | HS 61 | 2024 | 1474651.0 | 0.0 | H6
USA (842) | Export | Somalia | HS 61 | 2024 | 20945.0 | 0.0 | H6
USA (842) | Re-export | Somalia | HS 61 | 2024 | 15945.0 | 0.0 | H6
United Kingdom (826) | Export | Somalia | HS 61 | 2024 | 3976.12 | 0.0 | H6
China (156) | Export | Somalia | HS 62 | 2021 | 19067583.0 | 0.0 | H5
Djibouti (262) | Export | Somalia | HS 62 | 2021 | 107219.908 | 0.0 | H3
Egypt (818) | Export | Somalia | HS 62 | 2021 | 6885.0 | 0.0 | H4
Ethiopia (231) | Export | Somalia | HS 62 | 2021 | 107750.62 | 0.0 | H5
Germany (276) | Export | Somalia | HS 62 | 2021 | 23741.361 | 0.0 | H5
India (699) | Export | Somalia | HS 62 | 2021 | 5890669.022 | 0.0 | H5
Indonesia (360) | Export | Somalia | HS 62 | 2021 | 21995692.328 | 0.0 | H5
Italy (380) | Export | Somalia | HS 62 | 2021 | 11046.794 | 0.0 | H5
Kenya (404) | Export | Somalia | HS 62 | 2021 | 32242.849 | 0.0 | H5
Kenya (404) | Re-export | Somalia | HS 62 | 2021 | 3644.728 | 0.0 | H5
Netherlands (528) | Export | Somalia | HS 62 | 2021 | 49.675 | 0.0 | H5
Oman (512) | Export | Somalia | HS 62 | 2021 | 403326.397 | 0.0 | H5
Oman (512) | Re-export | Somalia | HS 62 | 2021 | 403326.397 | 0.0 | H5
Pakistan (586) | Export | Somalia | HS 62 | 2021 | 151898.748 | 0.0 | H5
Saudi Arabia (682) | Export | Somalia | HS 62 | 2021 | 314910.125 | 0.0 | H5
Saudi Arabia (682) | Re-export | Somalia | HS 62 | 2021 | 290416.793 | 0.0 | H5
South Africa (710) | Export | Somalia | HS 62 | 2021 | 234704.346 | 0.0 | H5
Spain (724) | Export | Somalia | HS 62 | 2021 | 317.566 | 0.0 | H5
Thailand (764) | Export | Somalia | HS 62 | 2021 | 5858.516 | 0.0 | H5
Turkiye (792) | Export | Somalia | HS 62 | 2021 | 2838620.0 | 0.0 | H5
USA (842) | Export | Somalia | HS 62 | 2021 | 38551.0 | 0.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 62 | 2021 | 4460379.189 | 0.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 62 | 2021 | 4110433.424 | 0.0 | H5
United Kingdom (826) | Export | Somalia | HS 62 | 2021 | 106194.09 | 0.0 | H5
China (156) | Export | Somalia | HS 62 | 2022 | 30801937.0 | 0.0 | H6
Djibouti (262) | Export | Somalia | HS 62 | 2022 | 65335.243 | 0.0 | H3
Egypt (818) | Export | Somalia | HS 62 | 2022 | 2026.0 | 0.0 | H6
Ethiopia (231) | Export | Somalia | HS 62 | 2022 | 122444.264 | 0.0 | H6
Germany (276) | Export | Somalia | HS 62 | 2022 | 40387.837 | 0.0 | H6
India (699) | Export | Somalia | HS 62 | 2022 | 7186612.333 | 0.0 | H6
Indonesia (360) | Export | Somalia | HS 62 | 2022 | 19161086.745 | 0.0 | H6
Italy (380) | Export | Somalia | HS 62 | 2022 | 29049.4 | 0.0 | H6
Kenya (404) | Export | Somalia | HS 62 | 2022 | 34678.43 | 0.0 | H6
Kenya (404) | Re-export | Somalia | HS 62 | 2022 | 16270.341 | 0.0 | H6
Netherlands (528) | Export | Somalia | HS 62 | 2022 | 20436.515 | 0.0 | H6
Oman (512) | Export | Somalia | HS 62 | 2022 | 357089.726 | 0.0 | H6
Oman (512) | Re-export | Somalia | HS 62 | 2022 | 357089.726 | 0.0 | H6
Pakistan (586) | Export | Somalia | HS 62 | 2022 | 326926.161 | 0.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 62 | 2022 | 174498.929 | 0.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 62 | 2022 | 173350.662 | 0.0 | H6
South Africa (710) | Export | Somalia | HS 62 | 2022 | 425893.576 | 0.0 | H6
Thailand (764) | Export | Somalia | HS 62 | 2022 | 16372.429 | 0.0 | H6
Turkiye (792) | Export | Somalia | HS 62 | 2022 | 2220800.0 | 0.0 | H6
USA (842) | Export | Somalia | HS 62 | 2022 | 53799.0 | 0.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 62 | 2022 | 6336192.065 | 0.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 62 | 2022 | 5720773.912 | 0.0 | H6
United Kingdom (826) | Export | Somalia | HS 62 | 2022 | 59314.021 | 0.0 | H6
Zimbabwe (716) | Export | Somalia | HS 62 | 2022 | 21811.19 | 0.0 | H5
China (156) | Export | Somalia | HS 62 | 2023 | 24484758.0 | 0.0 | H6
Djibouti (262) | Export | Somalia | HS 62 | 2023 | 33142.237 | 0.0 | H3
Egypt (818) | Export | Somalia | HS 62 | 2023 | 1570.0 | 0.0 | H6
Ethiopia (231) | Export | Somalia | HS 62 | 2023 | 29904.531 | 0.0 | H6
Germany (276) | Export | Somalia | HS 62 | 2023 | 80647.025 | 0.0 | H6
India (699) | Export | Somalia | HS 62 | 2023 | 19452341.316 | 0.0 | H6
Indonesia (360) | Export | Somalia | HS 62 | 2023 | 23922237.451 | 0.0 | H6
Italy (380) | Export | Somalia | HS 62 | 2023 | 187712.558 | 0.0 | H6
Kenya (404) | Export | Somalia | HS 62 | 2023 | 54145.087 | 0.0 | H6
Kenya (404) | Re-export | Somalia | HS 62 | 2023 | 41900.834 | 0.0 | H6
Kuwait (414) | Export | Somalia | HS 62 | 2023 | 2246.193 | 0.0 | H6
Netherlands (528) | Export | Somalia | HS 62 | 2023 | 63087.699 | 0.0 | H6
Oman (512) | Export | Somalia | HS 62 | 2023 | 1427487.644 | 0.0 | H6
Oman (512) | Re-export | Somalia | HS 62 | 2023 | 1427487.644 | 0.0 | H6
Pakistan (586) | Export | Somalia | HS 62 | 2023 | 293157.849 | 0.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 62 | 2023 | 125138.93 | 0.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 62 | 2023 | 124818.93 | 0.0 | H6
South Africa (710) | Export | Somalia | HS 62 | 2023 | 168632.999 | 0.0 | H6
Spain (724) | Export | Somalia | HS 62 | 2023 | 568.747 | 0.0 | H6
Thailand (764) | Export | Somalia | HS 62 | 2023 | 28334.878 | 0.0 | H6
Turkiye (792) | Export | Somalia | HS 62 | 2023 | 1624648.0 | 0.0 | H6
USA (842) | Export | Somalia | HS 62 | 2023 | 95644.0 | 0.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 62 | 2023 | 4977128.416 | 0.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 62 | 2023 | 3867820.861 | 0.0 | H6
United Kingdom (826) | Export | Somalia | HS 62 | 2023 | 33769.653 | 0.0 | H6
