=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24, reshaped to one line per record.
# Somalia (706) does not report; rows are partner (mirror) data: other countries' reported exports to Somalia and Gulf imports from Somalia and from the World.
# Filter: partner2Code 0, customsCode C00, motCode 0 (all customs regimes and transport modes). Values in current USD; net weight in kg.
# Format: Reporter (code) | Flow | Partner | HS code | Year | Trade value USD | Net weight kg | HS version
Saudi Arabia (682) | Re-export | Somalia | HS 1006 | 2022 | 17052.266 | 25860.0 | H6
South Africa (710) | Export | Somalia | HS 1006 | 2022 | 97347.411 | 148827.0 | H6
Turkiye (792) | Export | Somalia | HS 1006 | 2022 | 3880.0 | 1900.0 | H6
USA (842) | Export | Somalia | HS 1006 | 2022 | 7504.0 | 11380.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1006 | 2022 | 5744486.258 | 9596180.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1006 | 2022 | 5744486.258 | 9596180.0 | H6
Djibouti (262) | Export | Somalia | HS 1006 | 2023 | 377269.333 | 280769.3 | H3
Ethiopia (231) | Export | Somalia | HS 1006 | 2023 | 40432.147 | 80000.0 | H6
India (699) | Export | Somalia | HS 1006 | 2023 | 180397019.997 | 413694900.0 | H6
Kenya (404) | Export | Somalia | HS 1006 | 2023 | 150.555 | 172.0 | H6
Netherlands (528) | Export | Somalia | HS 1006 | 2023 | 169.759 | 60.0 | H6
Oman (512) | Export | Somalia | HS 1006 | 2023 | 593672.301 | 693328.0 | H6
Oman (512) | Re-export | Somalia | HS 1006 | 2023 | 593672.301 | 693328.0 | H6
Pakistan (586) | Export | Somalia | HS 1006 | 2023 | 40249949.277 | 66414000.0 | H6
South Africa (710) | Export | Somalia | HS 1006 | 2023 | 462686.505 | 140716.0 | H6
Turkiye (792) | Export | Somalia | HS 1006 | 2023 | 3595.0 | 1716.0 | H6
USA (842) | Export | Somalia | HS 1006 | 2023 | 4536.0 | 11703.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1006 | 2023 | 3223772.493 | 3813449.8 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1006 | 2023 | 3223772.493 | 3813449.8 | H6
China (156) | Export | Somalia | HS 1006 | 2024 | 1252701.0 | 1340000.0 | H6
India (699) | Export | Somalia | HS 1006 | 2024 | 230017217.027 | 500320670.0 | H6
Netherlands (528) | Export | Somalia | HS 1006 | 2024 | 329.044 | 210.0 | H6
Oman (512) | Export | Somalia | HS 1006 | 2024 | 4438673.595 | 5207543.0 | H6
Oman (512) | Re-export | Somalia | HS 1006 | 2024 | 4438673.595 | 5207543.0 | H6
Pakistan (586) | Export | Somalia | HS 1006 | 2024 | 60987670.318 | 86608000.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1006 | 2024 | 976.0 | 5000.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 1006 | 2024 | 976.0 | 5000.0 | H6
South Africa (710) | Export | Somalia | HS 1006 | 2024 | 35136.234 | 49051.0 | H6
Turkiye (792) | Export | Somalia | HS 1006 | 2024 | 16695.0 | 7005.0 | H6
USA (842) | Export | Somalia | HS 1006 | 2024 | 3256.0 | 8400.0 | H6
Egypt (818) | Export | Somalia | HS 1101 | 2021 | 39558855.0 | 76521082.957 | H4
Ethiopia (231) | Export | Somalia | HS 1101 | 2021 | 12278.04 | 22500.0 | H5
India (699) | Export | Somalia | HS 1101 | 2021 | 13556646.887 | 43047800.0 | H5
Kenya (404) | Export | Somalia | HS 1101 | 2021 | 809.757 | 1440.0 | H5
Netherlands (528) | Export | Somalia | HS 1101 | 2021 | 12846.925 | 24880.0 | H5
Oman (512) | Export | Somalia | HS 1101 | 2021 | 26739989.555 | 80029150.0 | H5
Turkiye (792) | Export | Somalia | HS 1101 | 2021 | 27721977.0 | 82233063.0 | H5
USA (842) | Export | Somalia | HS 1101 | 2021 | 5000.0 | 7239.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1101 | 2021 | 9186450.532 | 24509657.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1101 | 2021 | 312848.569 | 240957.0 | H5
Egypt (818) | Export | Somalia | HS 1101 | 2022 | 20323549.0 | 31445928.388 | H6
