=== PAGE 1 ===
# Somalia (FAOSTAT Area Code 201) rows from Production_Crops_Livestock_E_Africa.csv, reshaped to one line per item, element and year.
# Format: Somalia | Item | Element | Unit | Year | Value | Flag
Somalia | Bananas | Yield | kg/ha | 2009 | 17023.600000 | E
Somalia | Bananas | Yield | kg/ha | 2010 | 17031.900000 | E
Somalia | Bananas | Yield | kg/ha | 2011 | 17040.200000 | E
Somalia | Bananas | Yield | kg/ha | 2012 | 17048.500000 | E
Somalia | Bananas | Yield | kg/ha | 2013 | 17056.900000 | E
Somalia | Bananas | Yield | kg/ha | 2014 | 17057.500000 | E
Somalia | Bananas | Yield | kg/ha | 2015 | 17059.100000 | E
Somalia | Bananas | Yield | kg/ha | 2016 | 17057.800000 | E
Somalia | Bananas | Yield | kg/ha | 2017 | 17062.900000 | E
Somalia | Bananas | Yield | kg/ha | 2018 | 17060.000000 | E
Somalia | Bananas | Yield | kg/ha | 2019 | 17060.200000 | E
Somalia | Bananas | Yield | kg/ha | 2020 | 17059.000000 | E
Somalia | Bananas | Yield | kg/ha | 2021 | 17059.700000 | E
Somalia | Bananas | Yield | kg/ha | 2022 | 17059.700000 | E
Somalia | Bananas | Yield | kg/ha | 2023 | 17059.500000 | E
Somalia | Bananas | Yield | kg/ha | 2024 | 17059.600000 | E
Somalia | Bananas | Production | t | 1961 | 98000.000000 | A
Somalia | Bananas | Production | t | 1962 | 107000.000000 | A
Somalia | Bananas | Production | t | 1963 | 126000.000000 | A
Somalia | Bananas | Production | t | 1964 | 140000.000000 | A
Somalia | Bananas | Production | t | 1965 | 157000.000000 | A
Somalia | Bananas | Production | t | 1966 | 126800.000000 | A
Somalia | Bananas | Production | t | 1967 | 115500.000000 | A
Somalia | Bananas | Production | t | 1968 | 114300.000000 | A
Somalia | Bananas | Production | t | 1969 | 118100.000000 | A
Somalia | Bananas | Production | t | 1970 | 140300.000000 | A
Somalia | Bananas | Production | t | 1971 | 150800.000000 | A
Somalia | Bananas | Production | t | 1972 | 188500.000000 | A
Somalia | Bananas | Production | t | 1973 | 168300.000000 | A
Somalia | Bananas | Production | t | 1974 | 157500.000000 | A
Somalia | Bananas | Production | t | 1975 | 106000.000000 | A
Somalia | Bananas | Production | t | 1976 | 96600.000000 | A
Somalia | Bananas | Production | t | 1977 | 71700.000000 | A
Somalia | Bananas | Production | t | 1978 | 69700.000000 | A
Somalia | Bananas | Production | t | 1979 | 72200.000000 | A
Somalia | Bananas | Production | t | 1980 | 60400.000000 | A
Somalia | Bananas | Production | t | 1981 | 59000.000000 | A
Somalia | Bananas | Production | t | 1982 | 78700.000000 | A
Somalia | Bananas | Production | t | 1983 | 88900.000000 | A
Somalia | Bananas | Production | t | 1984 | 62200.000000 | A
Somalia | Bananas | Production | t | 1985 | 60000.000000 | A
Somalia | Bananas | Production | t | 1986 | 93900.000000 | A
Somalia | Bananas | Production | t | 1987 | 108000.000000 | A
Somalia | Bananas | Production | t | 1988 | 115200.000000 | A
Somalia | Bananas | Production | t | 1989 | 104500.000000 | A
Somalia | Bananas | Production | t | 1990 | 110000.000000 | E
Somalia | Bananas | Production | t | 1991 | 70000.000000 | E
Somalia | Bananas | Production | t | 1992 | 62655.510000 | I
Somalia | Bananas | Production | t | 1993 | 55000.000000 | E
Somalia | Bananas | Production | t | 1994 | 42500.000000 | A
Somalia | Bananas | Production | t | 1995 | 42000.000000 | E
Somalia | Bananas | Production | t | 1996 | 44655.660000 | I
Somalia | Bananas | Production | t | 1997 | 43152.120000 | I
Somalia | Bananas | Production | t | 1998 | 40000.000000 | E
Somalia | Bananas | Production | t | 1999 | 45000.000000 | E
Somalia | Bananas | Production | t | 2000 | 42000.000000 | E
Somalia | Bananas | Production | t | 2001 | 36000.000000 | X
Somalia | Bananas | Production | t | 2002 | 36900.000000 | X
Somalia | Bananas | Production | t | 2003 | 36900.000000 | X
Somalia | Bananas | Production | t | 2004 | 36900.000000 | X
Somalia | Bananas | Production | t | 2005 | 38000.000000 | E
Somalia | Bananas | Production | t | 2006 | 35870.800000 | I
Somalia | Bananas | Production | t | 2007 | 30939.240000 | I
Somalia | Bananas | Production | t | 2008 | 30453.100000 | I
