=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24 with tools/comtrade_pull_3.py, one line per record.
# (1) Imports of fresh or chilled bovine meat (HS 0201) in 2023 by the six GCC states, by partner (0 = World).
# (2) Imports from Somalia (706) of lac, natural gums, resins and gum-resins (HS 1301) and essential oils (HS 3301) in 2023; twelve partners queried, eleven reporting (Oman none).
# Filter: partner2Code 0, customsCode C00, motCode 0. Values in current USD; net weight in kg (blank where not reported). Partner names from UN Comtrade M49 codes.
# Format: Reporter (code) | Flow | Partner (code) | HS code | Year | Trade value USD | Net weight kg | Quantity | Quantity unit code | HS version
Qatar (634) | Import | Other Asia, nes (490) | HS 0201 | 2023 | 15010.423 | 1515.015 | 1515.015 | 8 | H6
Qatar (634) | Import | Ireland (372) | HS 0201 | 2023 | 899743.946 | 97520.63 | 97520.63 | 8 | H6
Qatar (634) | Import | Italy (380) | HS 0201 | 2023 | 309992.019 | 31287.76 | 31287.76 | 8 | H6
Qatar (634) | Import | World (0) | HS 0201 | 2023 | 103618414.222 | 13120578.318 | 13120578.318 | 8 | H6
Qatar (634) | Import | Canada (124) | HS 0201 | 2023 | 1611052.878 | 164934.641 | 164934.641 | 8 | H6
Kuwait (414) | Import | United Rep. of Tanzania (834) | HS 0201 | 2023 | 264510.725 | 36105.53 | 36105.53 | 8 | H6
Kuwait (414) | Import | New Zealand (554) | HS 0201 | 2023 | 5035082.91 | 537749.92 | 537749.92 | 8 | H6
Kuwait (414) | Import | Kazakhstan (398) | HS 0201 | 2023 | 13774.091 | 1548.0 | 1548.0 | 8 | H6
Kuwait (414) | Import | Georgia (268) | HS 0201 | 2023 | 61753.895 | 5978.0 | 5978.0 | 8 | H6
Kuwait (414) | Import | Sudan (729) | HS 0201 | 2023 | 1134003.867 | 156314.0 | 156314.0 | 8 | H6
Kuwait (414) | Import | Kenya (404) | HS 0201 | 2023 | 588841.567 | 84142.93 | 84142.93 | 8 | H6
Kuwait (414) | Import | Russian Federation (643) | HS 0201 | 2023 | 39873.567 | 2419.245 | 2419.245 | 8 | H6
Kuwait (414) | Import | South Africa (710) | HS 0201 | 2023 | 28263545.518 | 3839376.0 | 3839376.0 | 8 | H6
Kuwait (414) | Import | Brazil (76) | HS 0201 | 2023 | 452881.427 | 81715.2 | 81715.2 | 8 | H6
Kuwait (414) | Import | Jordan (400) | HS 0201 | 2023 | 1771.001 | 250.0 | 250.0 | 8 | H6
Kuwait (414) | Import | Lebanon (422) | HS 0201 | 2023 | 84900.618 | 11685.0 | 11685.0 | 8 | H6
Kuwait (414) | Import | Pakistan (586) | HS 0201 | 2023 | 70037253.826 | 9576585.0 | 9576585.0 | 8 | H6
