scenario,level,cluster,name,year,metric,value
low,line,c1,tanning,2032,tax_gross,10499.608068561876
low,line,c1,tanning,2032,customs_forgone,5880.600000000001
low,line,c1,tanning,2032,tax_revenue,4619.008068561875
low,line,c1,fish,2028,volume,202.5
low,line,c1,fish,2028,gross_output,182250.0
low,line,c1,fish,2028,value_added,30982.500000000004
low,line,c1,fish,2028,indirect_va,44614.799999999996
low,line,c1,fish,2028,induced_va,3413.2560200668904
low,line,c1,fish,2028,total_va,79010.5560200669
low,line,c1,fish,2028,household_income,35554.750209030106
low,line,c1,fish,2028,import_substitution,54675.0
low,line,c1,fish,2028,exports,127575.0
low,line,c1,fish,2028,imported_inputs,27337.5
low,line,c1,fish,2028,forgone_exports,0.0
low,line,c1,fish,2028,net_fx,154912.5
low,line,c1,fish,2028,jobs,18.0
low,line,c1,fish,2028,investment,2250000.0
low,line,c1,fish,2028,capital_goods_imports,1912500.0
low,line,c1,fish,2028,tax_gross,1975.2639005016727
low,line,c1,fish,2028,customs_forgone,3280.5
low,line,c1,fish,2028,tax_revenue,-1305.2360994983273
low,line,c1,fish,2029,volume,1282.5
low,line,c1,fish,2029,gross_output,1154250.0
low,line,c1,fish,2029,value_added,196222.5
low,line,c1,fish,2029,indirect_va,282560.39999999997
low,line,c1,fish,2029,induced_va,21617.288127090305
low,line,c1,fish,2029,total_va,500400.1881270903
low,line,c1,fish,2029,household_income,225180.08465719063
low,line,c1,fish,2029,import_substitution,346275.0
low,line,c1,fish,2029,exports,807975.0
low,line,c1,fish,2029,imported_inputs,173137.5
low,line,c1,fish,2029,forgone_exports,0.0
low,line,c1,fish,2029,net_fx,981112.5
low,line,c1,fish,2029,jobs,72.0
low,line,c1,fish,2029,investment,6750000.000000001
low,line,c1,fish,2029,capital_goods_imports,5737500.000000001
low,line,c1,fish,2029,tax_gross,12510.004703177257
low,line,c1,fish,2029,customs_forgone,20776.5
low,line,c1,fish,2029,tax_revenue,-8266.495296822743
low,line,c1,fish,2030,volume,3510.0
low,line,c1,fish,2030,gross_output,3159000.0
low,line,c1,fish,2030,value_added,537030.0
low,line,c1,fish,2030,indirect_va,773323.2
low,line,c1,fish,2030,induced_va,59163.10434782609
low,line,c1,fish,2030,total_va,1369516.304347826
low,line,c1,fish,2030,household_income,616282.3369565217
low,line,c1,fish,2030,import_substitution,947700.0
low,line,c1,fish,2030,exports,2211300.0
low,line,c1,fish,2030,imported_inputs,473850.0
low,line,c1,fish,2030,forgone_exports,0.0
low,line,c1,fish,2030,net_fx,2685150.0
low,line,c1,fish,2030,jobs,144.0
low,line,c1,fish,2030,investment,9000000.0
low,line,c1,fish,2030,capital_goods_imports,7650000.0
low,line,c1,fish,2030,tax_gross,34237.90760869565
low,line,c1,fish,2030,customs_forgone,56862.0
low,line,c1,fish,2030,tax_revenue,-22624.09239130435
low,line,c1,fish,2031,volume,6210.0
low,line,c1,fish,2031,gross_output,5589000.0
low,line,c1,fish,2031,value_added,950130.0
low,line,c1,fish,2031,indirect_va,1368187.2
low,line,c1,fish,2031,induced_va,104673.18461538464
low,line,c1,fish,2031,total_va,2422990.384615385
low,line,c1,fish,2031,household_income,1090345.6730769232
low,line,c1,fish,2031,import_substitution,1676700.0
low,line,c1,fish,2031,exports,3912300.0
low,line,c1,fish,2031,imported_inputs,838350.0
low,line,c1,fish,2031,forgone_exports,0.0
low,line,c1,fish,2031,net_fx,4750650.0
low,line,c1,fish,2031,jobs,216.0
low,line,c1,fish,2031,investment,8999999.999999998
low,line,c1,fish,2031,capital_goods_imports,7649999.999999998
low,line,c1,fish,2031,tax_gross,60574.759615384624
low,line,c1,fish,2031,customs_forgone,100602.0
low,line,c1,fish,2031,tax_revenue,-40027.240384615376
low,line,c1,fish,2032,volume,8910.0
low,line,c1,fish,2032,gross_output,8019000.0
low,line,c1,fish,2032,value_added,1363230.0
low,line,c1,fish,2032,indirect_va,1963051.2
