id,parameter,low,base,high,national.value_added.2032.at_low,national.value_added.2032.at_high,national.value_added.2032.swing,national.total_va.2032.at_low,national.total_va.2032.at_high,national.total_va.2032.swing,national.total_va_share_gdp.2032.at_low,national.total_va_share_gdp.2032.at_high,national.total_va_share_gdp.2032.swing,national.household_income.2032.at_low,national.household_income.2032.at_high,national.household_income.2032.swing,national.tax_revenue.2032.at_low,national.tax_revenue.2032.at_high,national.tax_revenue.2032.swing,national.jobs.2032.at_low,national.jobs.2032.at_high,national.jobs.2032.swing,national.net_fx.2032.at_low,national.net_fx.2032.at_high,national.net_fx.2032.swing,climate.total.avoided_t.2032.at_low,climate.total.avoided_t.2032.at_high,climate.total.avoided_t.2032.swing
A-022,Live-export value forgone per tonne of carcass-weight equivalent (cattle and camels),2500.0,3900.0,5500.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,236.451276,217.011276,19.439999999999998,239442.1673810272,239442.1673810272,0.0
A-027,Hides and skins tanning (with effluent treatment): direct jobs per unit of annual capacity in operation,0.0003,0.00033,0.00045,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17764.8,18124.8,360.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-028,Hides and skins tanning (with effluent treatment): capital cost per unit of annual capacity,3.0,5.0,9.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-029,Hides and skins tanning (with effluent treatment): share of output sold in Somalia (replacing imports); the rest is exported,0.05,0.1,0.3,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8816033991176471,0.8211233991176471,0.06047999999999998,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-030,Hides and skins tanning (with effluent treatment): imported inputs as a share of gross output,0.2,0.3,0.4,89.760528,89.760528,0.0,200.9488731617647,200.1150496323529,0.8338235294118022,0.008248573728188545,0.008214346838779144,3.4226889409400343e-05,120.56932389705881,120.06902977941176,0.5002941176470443,0.8811809285294119,0.8578338697058823,0.02334705882352961,17836.8,17836.8,0.0,228.135276,226.623276,1.5120000000000005,239442.1673810272,239442.1673810272,0.0
A-031,"Hides and skins tanning (with effluent treatment): share of domestic input supply that is additional (new production, not diverted from other buyers)",0.4,0.6,0.8,89.760528,89.760528,0.0,200.1150496323529,200.9488731617647,0.8338235294118022,0.008214346838779144,0.008248573728188545,3.4226889409400343e-05,120.06902977941176,120.56932389705881,0.5002941176470443,0.8578338697058823,0.8811809285294119,0.02334705882352961,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-032,Tanning: share of skins that would otherwise have been exported raw,0.1,0.2,0.4,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,227.606076,226.925676,0.6803999999999917,239442.1673810272,239442.1673810272,0.0
A-033,Tanning: raw-skin export value forgone per skin,0.8,1.5,2.5,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,227.590956,227.076876,0.514080000000007,239442.1673810272,239442.1673810272,0.0
A-038,Fish and seafood processing and cold chain: direct jobs per unit of annual capacity in operation,0.02,0.038,0.05,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,16972.8,18412.8,1440.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-039,Fish and seafood processing and cold chain: capital cost per unit of annual capacity,500.0,700.0,1500.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
