reporterCode,flowCode,partnerCode,cmdCode,refYear,primaryValue,fobvalue,cifvalue,netWgt,qty,qtyUnitCode,classificationCode,isReported,isAggregate
344,M,706,0305,2023,993504.024,,993504.024,14772.0,14772.0,8,H6,False,True
344,M,706,0306,2023,736084.466,,736084.466,19501.0,19501.0,8,H6,False,True
344,M,706,0307,2023,33207.385,,33207.385,100.0,100.0,8,H6,False,True
344,M,706,0305,2024,22553.018,,22553.018,126.0,126.0,8,H6,False,True
344,M,706,0306,2024,304131.041,,304131.041,8883.0,8883.0,8,H6,False,True
144,M,706,0805,2023,51.115,,51.115,50.0,50.0,8,H6,False,True
842,M,706,0805,2022,15740.0,11740.0,15740.0,12195.0,12195.0,8,H6,False,True
842,M,706,1515,2022,180476.0,167511.0,180476.0,56633.0,56633.0,8,H6,False,True
842,M,706,1515,2023,245355.0,222186.0,245355.0,67607.0,67607.0,8,H6,False,True
842,M,706,0805,2024,22105.0,19605.0,22105.0,8000.0,8000.0,8,H6,False,True
842,M,706,1515,2024,207983.0,189075.0,207983.0,26962.0,26962.0,8,H6,False,True
276,M,706,0307,2022,23962.476,,23962.476,7160.0,7160.0,8,H6,False,True
276,M,706,0805,2022,2473.546,,2473.546,1000.0,1000.0,8,H6,False,True
276,M,706,1207,2022,1558522.397,,1558522.397,691961.0,691961.0,8,H6,False,True
276,M,706,0307,2023,43584.533,,43584.533,13980.0,13980.0,8,H6,False,True
276,M,706,0805,2023,3344.818,,3344.818,474.0,474.0,8,H6,False,True
276,M,706,0307,2024,50835.56,,50835.56,14220.0,14220.0,8,H6,False,True
276,M,706,0805,2024,6801.757,,6801.757,1376.0,1376.0,8,H6,False,True
276,M,706,1207,2024,1309974.734,,1309974.734,564152.0,564152.0,8,H6,False,True
276,M,706,1515,2024,14330.738,,14330.738,10731.0,10731.0,8,H6,False,True
528,M,706,1207,2022,1486062.227,,1486062.227,728353.0,728353.0,8,H6,False,True
528,M,706,1207,2024,655513.419,,655513.419,315975.0,315975.0,8,H6,False,True
231,X,0,4105,2022,25410.039,25410.039,,26326.0,26326.0,8,H6,False,True
231,X,0,4106,2022,96884.702,96884.702,,76503.0,76503.0,8,H6,False,True
231,X,0,4105,2023,76785.403,76785.403,,35908.0,35908.0,8,H6,False,True
404,X,0,4105,2022,4912025.331,4912025.331,,1365113.0,1365113.0,8,H6,False,True
404,X,0,4106,2022,6862865.039,6862865.039,,3886650.3,3886650.3,8,H6,False,True
404,X,0,4105,2023,5142178.679,5142178.679,,1349176.0,1349176.0,8,H6,False,True
404,X,0,4106,2023,6998253.897,6998253.897,,4062362.0,4062362.0,8,H6,False,True
404,X,0,4105,2024,5786896.519,5786896.519,,1505027.0,1505027.0,8,H6,False,True
404,X,0,4106,2024,7012325.68,7012325.68,,3862753.5,3862753.5,8,H6,False,True
586,X,0,4105,2022,601375.859,601375.859,,44945.0,44945.0,8,H6,False,True
586,X,0,4106,2022,175887.393,175887.393,,20642.0,20642.0,8,H6,False,True
586,X,0,4105,2023,732526.474,732526.474,,165158.0,165158.0,8,H6,False,True
586,X,0,4106,2023,105669.815,105669.815,,8136.0,8136.0,8,H6,False,True
586,X,0,4105,2024,1512170.15,1512170.15,,425374.0,425374.0,8,H6,False,True
586,X,0,4106,2024,85.43,85.43,,101.0,101.0,8,H6,False,True
566,X,0,4105,2022,182362.83,182362.83,,36490.0,36490.0,8,H6,False,True
566,X,0,4106,2022,8172899.175,8172899.175,,349605.0,349605.0,8,H6,False,True
566,X,0,4105,2023,3635.312,3635.312,,300.0,300.0,8,H6,False,True
566,X,0,4106,2023,11942617.679,11942617.679,,16494041.0,16494041.0,8,H6,False,True
566,X,0,4106,2024,2326806.736,2326806.736,,,0.0,-1,H6,False,True
566,X,0,4105,2024,370276.601,370276.601,,165708.7,165708.7,8,H6,False,True
